address,length,value
0x00010000,52,None
0x00010194,36,None
0x00019d81,11,libdl.so.2
0x00019d8c,11,librt.so.1
0x00019d97,14,ld-linux.so.2
0x00019da5,14,libtier0_s.so
0x00019db3,16,libvstdlib_s.so
0x00019dc3,15,libXrandr.so.2
0x00019dd2,13,libXext.so.6
0x00019ddf,11,libXi.so.6
0x00019dea,11,libGL.so.1
0x00019df5,16,libXrender.so.1
0x00019e05,12,libX11.so.6
0x00019e11,13,libXtst.so.6
0x00019e1e,21,libpipewire-0.3.so.0
0x00019e33,15,libopenal.so.1
0x00019e42,14,libpulse.so.0
0x00019e50,11,libnm.so.0
0x00019e5b,20,libgobject-2.0.so.0
0x00019e6f,17,libglib-2.0.so.0
0x00019e80,13,libudev.so.1
0x00019e8d,16,libgio-2.0.so.0
0x00019e9d,10,libm.so.6
0x00019ea7,16,libpthread.so.0
0x00019eb7,10,libc.so.6
0x00019ec1,8,$ORIGIN
0x00019ec9,16,_ITM_memcpyRnWt
0x00019ed9,27,ThreadInterlockedIncrement
0x00019ef4,19,V_AppendParamToURL
0x00019f07,84,_Z21V_SplitStringInternalPKcPKS0_PS0_iR10CUtlVectorI10CUtlString10CUtlMemoryIS5_EEb
0x00019f5b,16,XextFindDisplay
0x00019f6b,15,XIQueryVersion
0x00019f7a,13,XOpenDisplay
0x00019f87,23,nm_connection_get_type
0x00019f9e,21,nm_device_get_vendor
0x00019fb3,24,g_type_check_class_cast
0x00019fcb,12,g_type_name
0x00019fd7,11,localeconv
0x00019fe2,7,getgid
0x00019fe9,10,localtime
0x00019ff3,11,shm_unlink
0x00019ffe,19,Plat_RelativeTicks
0x0001a011,29,nm_setting_wireless_get_band
0x0001a02e,20,g_variant_get_int64
0x0001a042,20,g_hash_table_lookup
0x0001a056,13,g_mutex_lock
0x0001a063,5,kill
0x0001a068,9,snprintf
0x0001a071,16,___tls_get_addr
0x0001a081,7,ETWEnd
0x0001a088,39,_ZN16SteamThreadTools7CThread6ResumeEv
0x0001a0af,22,pa_context_disconnect
0x0001a0c5,19,nm_connection_dump
0x0001a0d8,25,nm_ip_config_get_gateway
0x0001a0f1,18,g_value_get_boxed
0x0001a103,12,g_malloc0_n
0x0001a10f,9,strptime
0x0001a118,14,__dprintf_chk
0x0001a126,9,strerror
0x0001a12f,47,_ZN16SteamThreadTools7CThread13GetThreadProcEv
0x0001a15e,28,ThreadInterlockedAssignIf64
0x0001a17a,15,g_list_prepend
0x0001a189,24,g_unix_fd_list_get_type
0x0001a1a1,6,ldexp
0x0001a1a7,13,pthread_self
0x0001a1b4,8,waitpid
0x0001a1bc,17,V_StripExtension
0x0001a1cd,12,V_strtoui64
0x0001a1d9,19,V_SplitNumbersUint
0x0001a1ec,15,XFreeEventData
0x0001a1fb,15,alcGetIntegerv
0x0001a20a,27,nm_device_get_dhcp6_config
0x0001a225,26,nm_setting_ip4_config_new
0x0001a23f,42,g_dbus_interface_skeleton_get_connections
0x0001a269,26,g_dbus_interface_get_info
0x0001a283,6,fopen
0x0001a289,38,_ZNK10CValidator15DumpDoubleClaimEPKc
0x0001a2af,38,_ZN16SteamThreadTools7CThread5YieldEv
0x0001a2d5,17,V_memcpy_nocache
0x0001a2e6,21,glXGetCurrentContext
0x0001a2fb,22,pw_proxy_add_listener
0x0001a311,21,g_param_spec_variant
0x0001a326,9,futimens
0x0001a32f,7,memset
0x0001a336,6,chdir
0x0001a33c,8,wmemchr
0x0001a344,8,fopen64
0x0001a34c,28,ZSTD_trace_decompress_begin
0x0001a368,22,ThreadMicroSleepPOSIX
0x0001a37e,47,_ZNV16SteamThreadTools15CThreadSpinLock4LockEj
0x0001a3ad,28,ETW_Steamworks_IPCRecv_End_
0x0001a3c9,17,V_strncat_length
0x0001a3da,80,_Z23V_ParseShellCommandLinePKcR10CUtlVectorI10CUtlString10CUtlMemoryIS2_EEiPS0_
0x0001a42a,18,glXDestroyContext
0x0001a43c,21,alcCaptureOpenDevice
0x0001a451,21,pa_context_get_state
0x0001a466,18,udev_device_unref
0x0001a478,46,udev_device_get_parent_with_subsystem_devtype
0x0001a4a6,9,udev_new
0x0001a4af,5,bind
0x0001a4b4,7,usleep
0x0001a4bb,7,dladdr
0x0001a4c2,8,dlmopen
0x0001a4ca,24,ThreadFindProcessByName
0x0001a4e2,50,_ZN16SteamThreadTools16CThreadFullMutex7ReleaseEv
0x0001a514,19,ThreadShellExecute
0x0001a527,13,V_strnappend
0x0001a534,12,glGetString
0x0001a540,15,pa_cvolume_max
0x0001a54f,29,pa_threaded_mainloop_get_api
0x0001a56c,27,nm_device_disconnect_async
0x0001a587,28,g_type_add_instance_private
0x0001a5a3,34,g_type_interface_add_prerequisite
0x0001a5c5,25,udev_list_entry_get_next
0x0001a5de,28,udev_monitor_receive_device
0x0001a5fa,5,fork
0x0001a5ff,12,__newlocale
0x0001a60b,6,uname
0x0001a611,40,_ZN16SteamThreadTools7CThread7SuspendEv
0x0001a639,59,_Z30V_EscapeShellArgumentAndAppendP17CUtlStringBuilderPKcb
0x0001a674,22,glXGetCurrentDrawable
0x0001a68a,25,glXGetVisualFromFBConfig
0x0001a6a3,23,pw_thread_loop_destroy
0x0001a6ba,28,g_dbus_object_get_interface
0x0001a6d6,9,recvfrom
0x0001a6df,7,shmget
0x0001a6e6,9,mprotect
0x0001a6ef,5,link
0x0001a6f4,9,_ITM_RU1
0x0001a6fd,19,_Z9V_stristrPKcS0_
0x0001a710,17,XKeysymToKeycode
0x0001a721,23,pw_get_library_version
0x0001a738,43,nm_remote_connection_commit_changes_finish
0x0001a763,18,nm_device_get_udi
0x0001a775,22,g_source_set_callback
0x0001a78b,5,atan
0x0001a790,15,__snprintf_chk
0x0001a79f,12,strncasecmp
0x0001a7ab,7,rename
0x0001a7b2,14,__sprintf_chk
0x0001a7c0,10,Is64BitOS
0x0001a7ca,39,_ZN10CValidator16ClaimArrayMemoryEPKvb
0x0001a7f1,19,ThreadGetProcessId
0x0001a804,20,XRRGetOutputPrimary
0x0001a818,14,XFreeColormap
0x0001a826,25,nm_simple_connection_new
0x0001a83f,37,nm_client_activate_connection_finish
0x0001a864,19,g_variant_take_ref
0x0001a877,32,g_dbus_message_get_unix_fd_list
0x0001a897,37,g_dbus_method_invocation_get_message
0x0001a8bc,21,pthread_mutex_unlock
0x0001a8d1,12,getnameinfo
0x0001a8dd,6,fputc
0x0001a8e3,16,__nl_langinfo_l
0x0001a8f3,34,_ZN10CValidator11ClaimMemoryEPKvb
0x0001a915,33,nm_device_wifi_get_access_points
0x0001a936,34,nm_device_ethernet_get_hw_address
0x0001a958,7,listen
0x0001a95f,6,mkdir
0x0001a965,11,__wctype_l
0x0001a970,15,__realpath_chk
0x0001a97f,23,sched_get_priority_max
0x0001a996,13,freeaddrinfo
0x0001a9a3,9,_ITM_RU4
0x0001a9ac,29,ThreadInterlockedExchangeAdd
0x0001a9c9,19,XDefaultRootWindow
0x0001a9dc,30,nm_remote_connection_get_type
0x0001a9fa,25,g_main_context_iteration
0x0001aa13,25,g_dbus_proxy_call_finish
0x0001aa2c,38,g_dbus_interface_info_lookup_property
0x0001aa52,5,recv
0x0001aa57,7,fflush
0x0001aa5e,6,pipe2
0x0001aa64,23,_Z15V_UnicodeLengthPKc
0x0001aa7b,22,nm_client_get_devices
0x0001aa91,10,nanosleep
0x0001aa9b,12,__wcscoll_l
0x0001aaa7,6,fgetc
0x0001aaad,8,syscall
0x0001aab5,7,setsid
0x0001aabc,27,ThreadTerminateProcessCode
0x0001aad7,23,Plat_GetExecutablePath
0x0001aaee,23,V_ExtractDomainFromURL
0x0001ab05,17,XGetTextProperty
0x0001ab16,19,XGetWindowProperty
0x0001ab29,18,pw_port_info_free
0x0001ab3b,38,nm_setting_wireless_security_get_type
0x0001ab61,31,nm_client_wireless_set_enabled
0x0001ab80,21,nm_device_disconnect
0x0001ab95,30,g_type_register_static_simple
0x0001abb3,8,sendmsg
0x0001abbb,6,abort
0x0001abc1,7,strlen
0x0001abc8,6,fread
0x0001abce,7,mktime
0x0001abd5,18,nm_ip_address_new
0x0001abe7,25,g_object_notify_by_pspec
0x0001ac00,13,g_object_set
0x0001ac0d,20,g_variant_get_int32
0x0001ac21,19,udev_enumerate_new
0x0001ac34,8,mbrtowc
0x0001ac3c,7,setenv
0x0001ac43,17,TSQueueBase_Init
0x0001ac54,29,ThreadInterlockedIncrement64
0x0001ac71,10,GetOSType
0x0001ac7b,13,V_FixSlashes
0x0001ac88,19,V_MakeAbsolutePath
0x0001ac9b,26,nm_connection_add_setting
0x0001acb5,17,g_hash_table_new
0x0001acc6,22,g_variant_builder_add
0x0001acdc,7,open64
0x0001ace3,7,pclose
0x0001acea,7,getcwd
0x0001acf1,8,bsearch
0x0001acf9,36,_ZN20CUniformRandomStream7SetSeedEi
0x0001ad1d,33,nm_setting_802_1x_add_eap_method
0x0001ad3e,8,pread64
0x0001ad46,7,system
0x0001ad4d,7,strcpy
0x0001ad54,16,__vasprintf_chk
0x0001ad64,48,_ZN16SteamThreadTools17CThreadSyncObject4WaitEj
0x0001ad94,4,Msg
0x0001ad98,55,_Z21V_ConvertStringToUUIDPKc16EUUIDStringFlagsP6V_UUID
0x0001adcf,7,_XRead
0x0001add6,30,pa_context_set_state_callback
0x0001adf4,32,nm_client_add_connection_finish
0x0001ae14,16,g_value_get_int
0x0001ae24,35,g_main_context_push_thread_default
0x0001ae47,14,epoll_create1
0x0001ae55,22,ThreadImplOneTimeInit
0x0001ae6b,26,Plat_OutputDebugStringRaw
0x0001ae85,14,V_UTF32ToUTF8
0x0001ae93,15,V_URLDecodeRaw
0x0001aea2,26,pa_threaded_mainloop_free
0x0001aebc,28,nm_device_ethernet_get_type
0x0001aed8,28,g_type_add_interface_static
0x0001aef4,31,g_dbus_object_manager_get_type
0x0001af13,22,pthread_mutex_destroy
0x0001af29,63,_ZN10SteamVProf9CVProfile10EnterScopeEPKc17EVProfBugdetGroupPv
0x0001af68,24,Plat_VirtualAccessFlags
0x0001af80,15,XextAddDisplay
0x0001af8f,20,XTestQueryExtension
0x0001afa3,28,pa_threaded_mainloop_unlock
0x0001afbf,34,nm_device_wifi_request_scan_async
0x0001afe1,20,g_quark_from_string
0x0001aff5,5,expf
0x0001affa,11,wcsnrtombs
0x0001b005,55,_ZN16CAdHocValidation17StaticValidateAllER10CValidator
0x0001b03c,19,ThreadSetDebugName
0x0001b04f,15,SpewOutputFunc
0x0001b05e,13,V_isvalidhex
0x0001b06b,12,pa_strerror
0x0001b077,19,g_variant_ref_sink
0x0001b08a,13,__freelocale
0x0001b097,11,iconv_open
0x0001b0a2,42,_ZN16SteamThreadTools12CThreadEvent3SetEv
0x0001b0cc,23,Plat_OutputDebugString
0x0001b0e3,41,_ZTVN10__cxxabiv120__si_class_type_infoE
0x0001b10c,47,_ZNK16SteamThreadTools16CThreadLocalBase3GetEv
0x0001b13b,18,V_ExtractFilePath
0x0001b14d,45,_ZN11SteamStdLib17CCommandLineParamC1EPKcS2_
0x0001b17a,15,XIQueryPointer
0x0001b189,20,g_param_spec_object
0x0001b19d,19,g_param_spec_int64
0x0001b1b0,4,sin
0x0001b1b4,19,pthread_key_delete
0x0001b1c7,22,pthread_rwlock_wrlock
0x0001b1dd,8,sprintf
0x0001b1e5,7,fclose
0x0001b1ec,6,chown
0x0001b1f2,16,V_FixupPathName
0x0001b202,35,nm_remote_connection_delete_finish
0x0001b225,14,g_bytes_unref
0x0001b233,26,udev_device_get_subsystem
0x0001b24d,30,g_dbus_connection_emit_signal
0x0001b26b,6,atanf
0x0001b271,5,fmod
0x0001b276,26,pthread_mutexattr_destroy
0x0001b290,23,pthread_rwlock_destroy
0x0001b2a7,10,statvfs64
0x0001b2b1,7,killpg
0x0001b2b8,50,_ZNK16SteamThreadTools7CThread15IsThreadRunningEv
0x0001b2ea,40,_ZTVN10__cxxabiv119__pointer_type_infoE
0x0001b312,16,V_strcmp_prefix
0x0001b322,26,pa_threaded_mainloop_lock
0x0001b33c,22,nm_utils_ssid_to_utf8
0x0001b352,21,nm_setting_wired_new
0x0001b367,29,g_object_class_find_property
0x0001b384,38,udev_device_get_properties_list_entry
0x0001b3aa,8,strrchr
0x0001b3b2,9,getpwuid
0x0001b3bb,8,ungetwc
0x0001b3c3,9,closedir
0x0001b3cc,11,__lxstat64
0x0001b3d7,7,strcmp
0x0001b3de,8,sysconf
0x0001b3e6,20,ThreadResumeProcess
0x0001b3fa,25,ThreadWaitForProcessExit
0x0001b413,18,Plat_AbsoluteTime
0x0001b425,13,g_ClockSpeed
0x0001b432,11,V_strnicmp
0x0001b43d,15,XDefaultScreen
0x0001b44c,15,pa_context_new
0x0001b45b,44,nm_client_add_and_activate_connection_async
0x0001b487,19,g_quark_try_string
0x0001b49a,13,g_error_free
0x0001b4a7,18,g_idle_source_new
0x0001b4b9,18,g_quark_to_string
0x0001b4cb,6,fmodf
0x0001b4d1,11,strcasestr
0x0001b4dc,4,div
0x0001b4e0,15,TSListBase_Pop
